desc_id,array_index
gpt2-xl_L0_U440_D1,0
gpt2-xl_L0_U440_D2,1
gpt2-xl_L0_U440_D3,2
gpt2-xl_L0_U440_D4,3
gpt2-xl_L0_U440_D5,4
gpt2-xl_L0_U1149_D1,5
gpt2-xl_L0_U1149_D2,6
gpt2-xl_L0_U1149_D3,7
gpt2-xl_L0_U1149_D4,8
gpt2-xl_L0_U1149_D5,9
gpt2-xl_L0_U1749_D1,10
gpt2-xl_L0_U1749_D2,11
gpt2-xl_L0_U1749_D3,12
gpt2-xl_L0_U1749_D4,13
gpt2-xl_L0_U1749_D5,14
gpt2-xl_L0_U2725_D1,15
gpt2-xl_L0_U2725_D2,16
gpt2-xl_L0_U2725_D3,17
gpt2-xl_L0_U2725_D4,18
gpt2-xl_L0_U2725_D5,19
gpt2-xl_L0_U3057_D1,20
gpt2-xl_L0_U3057_D2,21
gpt2-xl_L0_U3057_D3,22
gpt2-xl_L0_U3057_D4,23
gpt2-xl_L0_U3057_D5,24
gpt2-xl_L0_U3124_D1,25
gpt2-xl_L0_U3124_D2,26
gpt2-xl_L0_U3124_D3,27
gpt2-xl_L0_U3124_D4,28
gpt2-xl_L0_U3124_D5,29
gpt2-xl_L0_U3279_D1,30
gpt2-xl_L0_U3279_D2,31
gpt2-xl_L0_U3279_D3,32
gpt2-xl_L0_U3279_D4,33
gpt2-xl_L0_U3279_D5,34
gpt2-xl_L0_U3533_D1,35
gpt2-xl_L0_U3533_D2,36
gpt2-xl_L0_U3533_D3,37
gpt2-xl_L0_U3533_D4,38
gpt2-xl_L0_U3533_D5,39
gpt2-xl_L0_U3696_D1,40
gpt2-xl_L0_U3696_D2,41
gpt2-xl_L0_U3696_D3,42
gpt2-xl_L0_U3696_D4,43
gpt2-xl_L0_U3696_D5,44
gpt2-xl_L0_U3943_D1,45
gpt2-xl_L0_U3943_D2,46
gpt2-xl_L0_U3943_D3,47
gpt2-xl_L0_U3943_D4,48
gpt2-xl_L0_U3943_D5,49
gpt2-xl_L0_U4297_D1,50
gpt2-xl_L0_U4297_D2,51
gpt2-xl_L0_U4297_D3,52
gpt2-xl_L0_U4297_D4,53
gpt2-xl_L0_U4297_D5,54
gpt2-xl_L0_U4405_D1,55
gpt2-xl_L0_U4405_D2,56
gpt2-xl_L0_U4405_D3,57
gpt2-xl_L0_U4405_D4,58
gpt2-xl_L0_U4405_D5,59
gpt2-xl_L0_U4679_D1,60
gpt2-xl_L0_U4679_D2,61
gpt2-xl_L0_U4679_D3,62
gpt2-xl_L0_U4679_D4,63
gpt2-xl_L0_U4679_D5,64
gpt2-xl_L0_U4842_D1,65
gpt2-xl_L0_U4842_D2,66
gpt2-xl_L0_U4842_D3,67
gpt2-xl_L0_U4842_D4,68
gpt2-xl_L0_U4842_D5,69
gpt2-xl_L0_U5085_D1,70
gpt2-xl_L0_U5085_D2,71
gpt2-xl_L0_U5085_D3,72
gpt2-xl_L0_U5085_D4,73
gpt2-xl_L0_U5085_D5,74
gpt2-xl_L0_U5551_D1,75
gpt2-xl_L0_U5551_D2,76
gpt2-xl_L0_U5551_D3,77
gpt2-xl_L0_U5551_D4,78
gpt2-xl_L0_U5551_D5,79
gpt2-xl_L0_U5781_D1,80
gpt2-xl_L0_U5781_D2,81
gpt2-xl_L0_U5781_D3,82
gpt2-xl_L0_U5781_D4,83
gpt2-xl_L0_U5781_D5,84
gpt2-xl_L0_U5960_D1,85
gpt2-xl_L0_U5960_D2,86
gpt2-xl_L0_U5960_D3,87
gpt2-xl_L0_U5960_D4,88
gpt2-xl_L0_U5960_D5,89
gpt2-xl_L0_U6114_D1,90
gpt2-xl_L0_U6114_D2,91
gpt2-xl_L0_U6114_D3,92
gpt2-xl_L0_U6114_D4,93
gpt2-xl_L0_U6114_D5,94
gpt2-xl_L0_U6314_D1,95
gpt2-xl_L0_U6314_D2,96
gpt2-xl_L0_U6314_D3,97
gpt2-xl_L0_U6314_D4,98
gpt2-xl_L0_U6314_D5,99
gpt2-xl_L20_U328_D1,100
gpt2-xl_L20_U328_D2,101
gpt2-xl_L20_U328_D3,102
gpt2-xl_L20_U328_D4,103
gpt2-xl_L20_U328_D5,104
gpt2-xl_L20_U1004_D1,105
gpt2-xl_L20_U1004_D2,106
gpt2-xl_L20_U1004_D3,107
gpt2-xl_L20_U1004_D4,108
gpt2-xl_L20_U1004_D5,109
gpt2-xl_L20_U1406_D1,110
gpt2-xl_L20_U1406_D2,111
gpt2-xl_L20_U1406_D3,112
gpt2-xl_L20_U1406_D4,113
gpt2-xl_L20_U1406_D5,114
gpt2-xl_L20_U1424_D1,115
gpt2-xl_L20_U1424_D2,116
gpt2-xl_L20_U1424_D3,117
gpt2-xl_L20_U1424_D4,118
gpt2-xl_L20_U1424_D5,119
gpt2-xl_L20_U1790_D1,120
gpt2-xl_L20_U1790_D2,121
gpt2-xl_L20_U1790_D3,122
gpt2-xl_L20_U1790_D4,123
gpt2-xl_L20_U1790_D5,124
gpt2-xl_L20_U2325_D1,125
gpt2-xl_L20_U2325_D2,126
gpt2-xl_L20_U2325_D3,127
gpt2-xl_L20_U2325_D4,128
gpt2-xl_L20_U2325_D5,129
gpt2-xl_L20_U2679_D1,130
gpt2-xl_L20_U2679_D2,131
gpt2-xl_L20_U2679_D3,132
gpt2-xl_L20_U2679_D4,133
gpt2-xl_L20_U2679_D5,134
gpt2-xl_L20_U2700_D1,135
gpt2-xl_L20_U2700_D2,136
gpt2-xl_L20_U2700_D3,137
gpt2-xl_L20_U2700_D4,138
gpt2-xl_L20_U2700_D5,139
gpt2-xl_L20_U2869_D1,140
gpt2-xl_L20_U2869_D2,141
gpt2-xl_L20_U2869_D3,142
gpt2-xl_L20_U2869_D4,143
gpt2-xl_L20_U2869_D5,144
gpt2-xl_L20_U2988_D1,145
gpt2-xl_L20_U2988_D2,146
gpt2-xl_L20_U2988_D3,147
gpt2-xl_L20_U2988_D4,148
gpt2-xl_L20_U2988_D5,149
gpt2-xl_L20_U3313_D1,150
gpt2-xl_L20_U3313_D2,151
gpt2-xl_L20_U3313_D3,152
gpt2-xl_L20_U3313_D4,153
gpt2-xl_L20_U3313_D5,154
gpt2-xl_L20_U3885_D1,155
gpt2-xl_L20_U3885_D2,156
gpt2-xl_L20_U3885_D3,157
gpt2-xl_L20_U3885_D4,158
gpt2-xl_L20_U3885_D5,159
gpt2-xl_L20_U4268_D1,160
gpt2-xl_L20_U4268_D2,161
gpt2-xl_L20_U4268_D3,162
gpt2-xl_L20_U4268_D4,163
gpt2-xl_L20_U4268_D5,164
gpt2-xl_L20_U4447_D1,165
gpt2-xl_L20_U4447_D2,166
gpt2-xl_L20_U4447_D3,167
gpt2-xl_L20_U4447_D4,168
gpt2-xl_L20_U4447_D5,169
gpt2-xl_L20_U4683_D1,170
gpt2-xl_L20_U4683_D2,171
gpt2-xl_L20_U4683_D3,172
gpt2-xl_L20_U4683_D4,173
gpt2-xl_L20_U4683_D5,174
gpt2-xl_L20_U5278_D1,175
gpt2-xl_L20_U5278_D2,176
gpt2-xl_L20_U5278_D3,177
gpt2-xl_L20_U5278_D4,178
gpt2-xl_L20_U5278_D5,179
gpt2-xl_L20_U5662_D1,180
gpt2-xl_L20_U5662_D2,181
gpt2-xl_L20_U5662_D3,182
gpt2-xl_L20_U5662_D4,183
gpt2-xl_L20_U5662_D5,184
gpt2-xl_L20_U5741_D1,185
gpt2-xl_L20_U5741_D2,186
gpt2-xl_L20_U5741_D3,187
gpt2-xl_L20_U5741_D4,188
gpt2-xl_L20_U5741_D5,189
gpt2-xl_L20_U5789_D1,190
gpt2-xl_L20_U5789_D2,191
gpt2-xl_L20_U5789_D3,192
gpt2-xl_L20_U5789_D4,193
gpt2-xl_L20_U5789_D5,194
gpt2-xl_L20_U6045_D1,195
gpt2-xl_L20_U6045_D2,196
gpt2-xl_L20_U6045_D3,197
gpt2-xl_L20_U6045_D4,198
gpt2-xl_L20_U6045_D5,199
gpt2-xl_L40_U183_D1,200
gpt2-xl_L40_U183_D2,201
gpt2-xl_L40_U183_D3,202
gpt2-xl_L40_U183_D4,203
gpt2-xl_L40_U183_D5,204
gpt2-xl_L40_U364_D1,205
gpt2-xl_L40_U364_D2,206
gpt2-xl_L40_U364_D3,207
gpt2-xl_L40_U364_D4,208
gpt2-xl_L40_U364_D5,209
gpt2-xl_L40_U556_D1,210
gpt2-xl_L40_U556_D2,211
gpt2-xl_L40_U556_D3,212
gpt2-xl_L40_U556_D4,213
gpt2-xl_L40_U556_D5,214
gpt2-xl_L40_U824_D1,215
gpt2-xl_L40_U824_D2,216
gpt2-xl_L40_U824_D3,217
gpt2-xl_L40_U824_D4,218
gpt2-xl_L40_U824_D5,219
gpt2-xl_L40_U1516_D1,220
gpt2-xl_L40_U1516_D2,221
gpt2-xl_L40_U1516_D3,222
gpt2-xl_L40_U1516_D4,223
gpt2-xl_L40_U1516_D5,224
gpt2-xl_L40_U1555_D1,225
gpt2-xl_L40_U1555_D2,226
gpt2-xl_L40_U1555_D3,227
gpt2-xl_L40_U1555_D4,228
gpt2-xl_L40_U1555_D5,229
gpt2-xl_L40_U1823_D1,230
gpt2-xl_L40_U1823_D2,231
gpt2-xl_L40_U1823_D3,232
gpt2-xl_L40_U1823_D4,233
gpt2-xl_L40_U1823_D5,234
gpt2-xl_L40_U3254_D1,235
gpt2-xl_L40_U3254_D2,236
gpt2-xl_L40_U3254_D3,237
gpt2-xl_L40_U3254_D4,238
gpt2-xl_L40_U3254_D5,239
gpt2-xl_L40_U3515_D1,240
gpt2-xl_L40_U3515_D2,241
gpt2-xl_L40_U3515_D3,242
gpt2-xl_L40_U3515_D4,243
gpt2-xl_L40_U3515_D5,244
gpt2-xl_L40_U3612_D1,245
gpt2-xl_L40_U3612_D2,246
gpt2-xl_L40_U3612_D3,247
gpt2-xl_L40_U3612_D4,248
gpt2-xl_L40_U3612_D5,249
gpt2-xl_L40_U3636_D1,250
gpt2-xl_L40_U3636_D2,251
gpt2-xl_L40_U3636_D3,252
gpt2-xl_L40_U3636_D4,253
gpt2-xl_L40_U3636_D5,254
gpt2-xl_L40_U3948_D1,255
gpt2-xl_L40_U3948_D2,256
gpt2-xl_L40_U3948_D3,257
gpt2-xl_L40_U3948_D4,258
gpt2-xl_L40_U3948_D5,259
gpt2-xl_L40_U4055_D1,260
gpt2-xl_L40_U4055_D2,261
gpt2-xl_L40_U4055_D3,262
gpt2-xl_L40_U4055_D4,263
gpt2-xl_L40_U4055_D5,264
gpt2-xl_L40_U4244_D1,265
gpt2-xl_L40_U4244_D2,266
gpt2-xl_L40_U4244_D3,267
gpt2-xl_L40_U4244_D4,268
gpt2-xl_L40_U4244_D5,269
gpt2-xl_L40_U4808_D1,270
gpt2-xl_L40_U4808_D2,271
gpt2-xl_L40_U4808_D3,272
gpt2-xl_L40_U4808_D4,273
gpt2-xl_L40_U4808_D5,274
gpt2-xl_L40_U4965_D1,275
gpt2-xl_L40_U4965_D2,276
gpt2-xl_L40_U4965_D3,277
gpt2-xl_L40_U4965_D4,278
gpt2-xl_L40_U4965_D5,279
gpt2-xl_L40_U5557_D1,280
gpt2-xl_L40_U5557_D2,281
gpt2-xl_L40_U5557_D3,282
gpt2-xl_L40_U5557_D4,283
gpt2-xl_L40_U5557_D5,284
gpt2-xl_L40_U6067_D1,285
gpt2-xl_L40_U6067_D2,286
gpt2-xl_L40_U6067_D3,287
gpt2-xl_L40_U6067_D4,288
gpt2-xl_L40_U6067_D5,289
gpt2-xl_L40_U6106_D1,290
gpt2-xl_L40_U6106_D2,291
gpt2-xl_L40_U6106_D3,292
gpt2-xl_L40_U6106_D4,293
gpt2-xl_L40_U6106_D5,294
gpt2-xl_L40_U6364_D1,295
gpt2-xl_L40_U6364_D2,296
gpt2-xl_L40_U6364_D3,297
gpt2-xl_L40_U6364_D4,298
