model,layer,unit,weighted_mean_sim,diversity_score,n_eff,sum_weights,max_auc,n_desc_auc_ge_05,has_reliable_desc,median_sim_unweighted,min_sim_unweighted,range_gap_unweighted,n_valid_pairs,redundancy_fraction_unweighted,unweighted_similarity_zscore,baseline_percentile,baseline_mean,baseline_std,exp_confidence_adjusted_diversity,unweighted_mean_sim,unweighted_diversity
Llama-3.1-8B-Instruct,0,823,0.45540640685566836,0.5445935931443316,4.9994442701246955,4.886584723517847,0.9276,5,True,0.4522013113601068,0.3892465365831239,0.06295477477698286,10,0.0,1.6446994247830728,94.8,0.38443857045846686,0.0430277552910385,0.5445330637584097,0.4552062948353447,0.5447937051646553
Llama-3.1-8B-Instruct,0,1997,0.413837063624967,0.5861629363750329,4.999998751303609,4.962458891821316,0.9983,5,True,0.36814408585284597,0.2471978368045193,0.12094624904832668,10,0.0,0.6831088603133255,75.6,0.38443857045846686,0.0430277552910385,0.5861627899871243,0.4138312113371688,0.5861687886628312
Llama-3.1-8B-Instruct,0,2395,0.41376660873347254,0.5862333912665274,4.995529440593477,4.892987776901329,1.0,5,True,0.3721744120121002,0.2738872468471527,0.09828716516494751,10,0.0,0.7219404514638977,76.5,0.38443857045846686,0.0430277552910385,0.5857092330261785,0.4155020475387573,0.5844979524612427
Llama-3.1-8B-Instruct,0,3016,0.4802540651686963,0.5197459348313037,3.2950610784979344,0.16759389273259873,0.2455,0,False,0.4927627898926813,0.3809840225000381,0.1117787673926432,10,0.0,2.2604259095080184,98.6,0.38443857045846686,0.0430277552910385,0.34251892011403057,0.481699623346301,0.518300376653699
Llama-3.1-8B-Instruct,0,3887,0.4891611926370089,0.510838807362991,2.199445537674953,1.1490649298847164,0.5945,1,True,0.44888775706808015,0.3549461364746094,0.09394162059347078,10,0.0,1.6081873733773626,94.39999999999999,0.38443857045846686,0.0430277552910385,0.22471242706514508,0.453635263222286,0.546364736777714
Llama-3.1-8B-Instruct,0,5359,0.4125853758050982,0.5874146241949019,4.529309273226898,0.06906697466566285,0.1126,0,False,0.4201823536093781,0.3020956010250928,0.1180867525842853,10,0.0,0.7203936503371037,76.4,0.38443857045846686,0.0430277552910385,0.5321165009190124,0.4154354921583897,0.5845645078416103
Llama-3.1-8B-Instruct,0,5716,0.40406026998843436,0.5959397300115656,4.842895593091956,3.9522683868939015,0.7952,5,True,0.4110845774412155,0.2669370472431183,0.14414753019809723,10,0.0,0.7036474351817504,76.1,0.38443857045846686,0.0430277552910385,0.5772147784442844,0.4147149401106341,0.585285059889366
Llama-3.1-8B-Instruct,0,6179,0.3895371658445222,0.6104628341554779,1.615060868445277,1.1887031096723772,0.7434,1,True,0.41691871610145115,0.3064041137695312,0.11051460233191995,10,0.0,0.6352151039687124,74.0,0.38443857045846686,0.0430277552910385,0.19718692701694224,0.4117704505092042,0.5882295494907959
Llama-3.1-8B-Instruct,0,7117,0.34224466360170847,0.6577553363982915,4.995878814916969,4.8154370574601035,0.9305,5,True,0.3371357819876879,0.2834298610687256,0.05370592091896231,10,0.0,-1.005628076754076,16.2,0.38443857045846686,0.0430277552910385,0.6572131901021617,0.3411686516580948,0.6588313483419053
Llama-3.1-8B-Instruct,0,7181,0.3716752852482959,0.6283247147517041,2.982153904090732,2.0848046908581774,0.8921,2,True,0.4139986736776055,0.2967682723083192,0.11723040136928631,10,0.0,0.09855907034348611,54.2,0.38443857045846686,0.0430277552910385,0.37475220022669803,0.3886793460189186,0.6113206539810814
Llama-3.1-8B-Instruct,0,8039,0.34400455556676934,0.6559954444332307,4.990754463897701,4.849316306942542,0.9972,5,True,0.31987567245960236,0.2127585113048553,0.10711716115474706,10,0.0,-0.9385412480500442,17.599999999999998,0.38443857045846686,0.0430277552910385,0.6547824385203405,0.3440552473068237,0.6559447526931763
Llama-3.1-8B-Instruct,0,9782,0.36316652625123974,0.6368334737487602,2.5943933158487633,1.7660435481818015,0.9837,1,True,0.31249019503593445,0.2231896221637725,0.08930057287216195,10,0.0,-1.6280290916148004,5.2,0.38443857045846686,0.0430277552910385,0.33043930152050643,0.3143881330977735,0.6856118669022264
Llama-3.1-8B-Instruct,0,9811,0.42934401224859625,0.5706559877514037,4.828377105126646,4.210944620957184,0.8339,5,True,0.42698692399280747,0.3127047829207913,0.11428214107201617,10,0.0,0.8934358972697972,80.60000000000001,0.38443857045846686,0.0430277552910385,0.5510684612324618,0.4228811116144211,0.5771188883855789
Llama-3.1-8B-Instruct,0,10081,0.45002236916603416,0.5499776308339659,1.5834607609537523,1.0570805516781336,0.6531,1,True,0.3987135053447787,0.3057279884815216,0.09298551686325707,10,0.0,1.0234232420285942,84.8,0.38443857045846686,0.0430277552910385,0.1741735995655787,0.4284741752756345,0.5715258247243655
Llama-3.1-8B-Instruct,0,10095,0.5970421552728042,0.40295784472719576,1.145190320165943,1.0641911676443856,0.9998,1,True,0.6575969854073498,0.5695968866348267,0.08800009877252313,10,0.0,6.203411733170613,100.0,0.38443857045846686,0.0430277552910385,0.09229268464330313,0.651357452482889,0.348642547517111
Llama-3.1-8B-Instruct,0,10609,0.34836642656334443,0.6516335734366556,3.139718667622625,1.7728399280504548,0.6322,1,True,0.36976242841706175,0.2924906313419342,0.07727179707512755,10,0.0,-0.624123993229043,26.3,0.38443857045846686,0.0430277552910385,0.4091892189937413,0.3575839160065418,0.6424160839934582
Llama-3.1-8B-Instruct,0,10851,0.38913920415543146,0.6108607958445685,3.731801827355467,2.196179071867224,0.6926,1,True,0.3634896386709703,0.2964493124618923,0.06704032620907796,10,0.0,-0.38921853994387046,34.8,0.38443857045846686,0.0430277552910385,0.45592228683851516,0.3676913703670267,0.6323086296329733
Llama-3.1-8B-Instruct,0,12733,0.41118298706144635,0.5888170129385537,4.9999994547568996,4.9634002632539005,0.9975,5,True,0.396887729068342,0.2991775393976252,0.09771018967071682,10,0.0,0.6221124074760085,73.7,0.38443857045846686,0.0430277552910385,0.5888169487288709,0.4112066708908634,0.5887933291091366
Llama-3.1-8B-Instruct,0,12865,0.43540835996621946,0.5645916400337805,4.574608642690346,4.167384070904268,0.9776,4,True,0.4314648319163825,0.3010615110397339,0.13040332087664863,10,0.0,1.1567053780829961,88.5,0.38443857045846686,0.0430277552910385,0.5165571592178498,0.4342090064104502,0.5657909935895498
Llama-3.1-8B-Instruct,0,13480,0.31425243327966323,0.6857475667203368,1.9714193408712366,0.11398389424955024,0.2546,0,False,0.31426654756069183,0.2622227668762207,0.05204378068447113,10,0.0,-1.1584225320126864,12.5,0.38443857045846686,0.0430277552910385,0.27037920319757214,0.3345942492273998,0.6654057507726002
Llama-3.1-8B-Instruct,20,99,0.39450920152064817,0.6054907984793518,3.8897150602092925,3.234083735725931,0.8694000000000001,3,True,0.4032385260318214,0.3497666299621332,0.05347189606968822,10,0.0,0.7366447322154196,76.8,0.38443857045846686,0.0430277552910385,0.47103733553265686,0.4161347397326645,0.5838652602673355
Llama-3.1-8B-Instruct,20,3032,0.44815981383774683,0.5518401861622532,3.952118806693037,2.9548159419582056,0.8419,3,True,0.40276869220920325,0.3240701258182525,0.07869856639095074,10,0.0,0.8504664100957501,80.10000000000001,0.38443857045846686,0.0430277552910385,0.4361875956041655,0.4210322310353148,0.5789677689646853
Llama-3.1-8B-Instruct,20,3740,0.4469526270712799,0.5530473729287201,3.7083464343991714,2.888037534031341,0.8047,3,True,0.4190348885190582,0.3968702852725982,0.02216460324645997,10,0.0,1.404247214239461,91.9,0.38443857045846686,0.0430277552910385,0.41017825069080954,0.4448601759608849,0.5551398240391151
Llama-3.1-8B-Instruct,20,5188,0.37635047432643437,0.6236495256735657,4.731069778662735,3.366827883146307,0.7876000000000001,4,True,0.3811728060245514,0.3282103538513183,0.05296245217323309,10,0.0,0.01773986978387427,50.7,0.38443857045846686,0.0430277552910385,0.5901058846783112,0.3852018772344223,0.6147981227655777
Llama-3.1-8B-Instruct,20,5424,0.37717866530067456,0.6228213346993254,4.999941238578339,4.953269984838829,0.9992,5,True,0.37968555406702786,0.2827313036803105,0.09695425038671734,10,0.0,-0.16673409324427427,42.699999999999996,0.38443857045846686,0.0430277552910385,0.622814015125912,0.377264376695679,0.622735623304321
Llama-3.1-8B-Instruct,20,5733,0.34067720465259027,0.6593227953474097,3.6621103841611995,1.2957027547487137,0.5121,1,False,0.33045154786570685,0.2923925766476918,0.03805897121801505,10,0.0,-0.7872035304221269,21.9,0.38443857045846686,0.0430277552910385,0.48290257107118767,0.350566969587222,0.649433030412778
Llama-3.1-8B-Instruct,20,7860,0.3691997963709572,0.6308002036290428,3.172488658622511,2.2500072485413045,0.9497,2,True,0.35189691185951233,0.2481821777603432,0.10371473409916912,10,0.0,-0.0471438621870555,47.9,0.38443857045846686,0.0430277552910385,0.4002412983739817,0.3824100758928078,0.6175899241071923
Llama-3.1-8B-Instruct,20,8256,0.32288351722267544,0.6771164827773246,4.990094927224385,0.038668863167340056,0.0206,0,False,0.3361011347830978,0.2275233417749405,0.10857779300815729,10,0.0,-1.4581986671701699,6.800000000000001,0.38443857045846686,0.0430277552910385,0.6757751051694291,0.3216955550417503,0.6783044449582497
Llama-3.1-8B-Instruct,20,8476,0.2388681101942766,0.7611318898057234,1.1144604790136945,0.7988456685736637,0.6133,1,True,0.26724575854828825,0.1460685555853191,0.12117720296296916,10,0.0,-2.278377621465065,1.0,0.38443857045846686,0.0430277552910385,0.169650282101097,0.2864050957014897,0.7135949042985104
Llama-3.1-8B-Instruct,20,8552,0.34727207011764677,0.6527279298823532,4.742491056637982,4.216105778046838,0.9895,4,True,0.3486333770835943,0.2905294548834041,0.05810392220019023,10,0.0,-0.4147261604966459,33.800000000000004,0.38443857045846686,0.0430277552910385,0.6191112739769767,0.3665938347118252,0.6334061652881748
Llama-3.1-8B-Instruct,20,8631,0.4354031124193994,0.5645968875806007,4.998293292042288,4.736230289063378,0.8826,5,True,0.44924698770046234,0.3215361343898699,0.12771085331059245,10,0.0,1.1743534646041347,88.8,0.38443857045846686,0.0430277552910385,0.564404167180414,0.4349683639586368,0.5650316360413632
Llama-3.1-8B-Instruct,20,8876,0.44361356074751074,0.5563864392524893,4.999952813425975,4.940357687553015,0.9679,5,True,0.4183850586414337,0.351381520968125,0.06700353767330869,10,0.0,1.375699947806882,91.60000000000001,0.38443857045846686,0.0430277552910385,0.5563811884585089,0.4436318511665958,0.5563681488334042
Llama-3.1-8B-Instruct,20,9836,0.4046076533230143,0.5953923466769857,2.572996519210173,0.9237108650289745,0.5125,1,False,0.3716541975736618,0.2222888204707137,0.14936537710294812,10,0.0,-0.4162610250768994,33.7,0.38443857045846686,0.0430277552910385,0.30638848711285216,0.3665277929342612,0.6334722070657388
Llama-3.1-8B-Instruct,20,10046,0.36961248139077224,0.6303875186092278,3.8559585869836845,2.6830396661219593,0.9415,2,True,0.3512015945639593,0.1875011362134736,0.16370045835048566,10,0.0,-0.6481412313110199,25.7,0.38443857045846686,0.0430277552910385,0.4861496331017178,0.3565505081635839,0.6434494918364161
Llama-3.1-8B-Instruct,20,10182,0.41756589272587014,0.5824341072741299,3.1805409482030216,1.7143317356210892,0.6067,1,True,0.4225136119878218,0.3638055784934095,0.05870803349441228,10,0.0,1.3682038298991694,91.60000000000001,0.38443857045846686,0.0430277552910385,0.37049110556308834,0.44330931003963,0.5566906899603701
Llama-3.1-8B-Instruct,20,10617,0.40895426038865196,0.591045739611348,4.488039779881902,3.588811835138485,0.9833,4,True,0.3632794970780797,0.261784547130873,0.1014949499472067,10,0.0,0.10723155862215072,54.50000000000001,0.38443857045846686,0.0430277552910385,0.53052735822109,0.3890525037223374,0.6109474962776626
