model,mean_similarity,min_similarity,max_similarity,std_similarity
gpt2-xl,0.32956442712169887,0.1638633860512524,0.5191985655308634,0.0965059920605624
gpt2-xl,0.397717235903441,0.33334810535157056,0.4623715281486511,0.04614302805666691
gpt2-xl,0.4448741685875673,0.35869105354654407,0.5030168887356689,0.04019483738202357
gpt2-xl,0.33913287078930787,0.2470168173313141,0.4504014253616333,0.06458000240405486
gpt2-xl,0.40357910336173664,0.2690984904766083,0.6153616675950102,0.0910285066472967
gpt2-xl,0.37957981824874876,0.19397713243961334,0.6411882042884827,0.14471642091624642
gpt2-xl,0.3829321648320665,0.3009526550201984,0.45672035475252026,0.0517028145071697
gpt2-xl,0.3273571208271437,0.20444412529468536,0.5231322206000157,0.09551066047311854
gpt2-xl,0.3082770399818527,0.24259502330348515,0.37910993348241917,0.04183931382494068
gpt2-xl,0.3547317283957526,0.2617631994627003,0.5871075391769409,0.09722033759076405
gpt2-xl,0.34567989120185105,0.24363088607788086,0.4485263259097152,0.07008871915544143
gpt2-xl,0.37015661153031576,0.3056730329990387,0.5517909197931943,0.07386825236428106
gpt2-xl,0.39008608948807777,0.3291681016483209,0.5354153790822409,0.05929892256214626
gpt2-xl,0.38523032868688334,0.29258964701952705,0.5182448029518127,0.06989798039946657
gpt2-xl,0.3719650204688019,0.2780725194172555,0.5438533697215704,0.09075250362191638
gpt2-xl,0.3955472896723119,0.32245612144470215,0.4897881156332433,0.06203439675268294
gpt2-xl,0.3221225718434302,0.1987627179168039,0.4291129154495654,0.060627527282607584
gpt2-xl,0.39645271780962016,0.2494102418422699,0.5754670753796662,0.0965165996570525
gpt2-xl,0.3601787834695588,0.24697728473083513,0.47033846555123016,0.0699391920888745
gpt2-xl,0.29108589330541146,0.19822125445477679,0.38672115723616884,0.05076009005571341
gpt2-xl,0.44732502216339204,0.3284009196877755,0.6737774610519409,0.10465562380495494
gpt2-xl,0.3026198613722263,0.2116261124610901,0.41357600688934326,0.06113661638344276
gpt2-xl,0.3595817990108391,0.27694250803843246,0.46985360800347453,0.07106839443454052
gpt2-xl,0.3315904322083388,0.18070338666439056,0.4662071466445923,0.07037846602637138
gpt2-xl,0.3732396034897447,0.30237406492233276,0.4533403245603853,0.04868410357742856
gpt2-xl,0.3772475363286252,0.2681010663509369,0.48747342824935913,0.06627296899858401
gpt2-xl,0.37716927751607504,0.2876027312160354,0.5761524438858032,0.08880066769337995
gpt2-xl,0.44290948153219556,0.37487474829705136,0.5717553751614476,0.06405851017213093
gpt2-xl,0.39014023150878,0.2369910329580307,0.6234048790754344,0.11713536105408466
gpt2-xl,0.34068949055455394,0.243700548630986,0.4551740884780884,0.055174328599903684
gpt2-xl,0.39091293340410704,0.31684182185877485,0.49321156821113354,0.05592378049059649
gpt2-xl,0.40994079975575276,0.32969639720342236,0.48180994499862606,0.04207378140873276
gpt2-xl,0.3722979714341827,0.2852290698749387,0.5112936053065542,0.057695986481424315
gpt2-xl,0.348848057037075,0.2659863233566284,0.45013821422230005,0.06025112858409927
gpt2-xl,0.32612352053969007,0.2667067627064291,0.40562906298810697,0.045425536003543175
gpt2-xl,0.41319526050196115,0.31609351539054475,0.5754445791244507,0.06751514782734079
gpt2-xl,0.4233070903746249,0.34787553548812866,0.4813534617424011,0.043389405524251516
gpt2-xl,0.3899334571024801,0.2979149640849259,0.5137963448106155,0.06689048330847845
gpt2-xl,0.410225427568503,0.2692526853975452,0.6355557876162827,0.10631505141570843
gpt2-xl,0.37452672777990503,0.3017749280266444,0.5264390079451827,0.07835942149727503
gpt2-xl,0.3793060602546761,0.2893054187297821,0.4873095750808716,0.05617853952445695
gpt2-xl,0.39998501010132764,0.30020834206293023,0.5477420361195791,0.07872089486088882
gpt2-xl,0.3860647930364043,0.29924479126930237,0.4792134463787079,0.05253782918742121
gpt2-xl,0.40046985880952873,0.2772432400439244,0.6008733869119528,0.08280030458949228
gpt2-xl,0.3305494940175552,0.17736384272575378,0.46002814411949333,0.0892823190581457
gpt2-xl,0.40681642907129856,0.3274235822982665,0.5221083760261536,0.06336376924445336
gpt2-xl,0.4200176803024297,0.30488884449005127,0.5627501271516019,0.09015933525905115
gpt2-xl,0.3524618936477103,0.2349060344808077,0.4110169814804844,0.04994558055964723
gpt2-xl,0.3376876080907075,0.22865636773965592,0.43014762638239845,0.05331906065290633
gpt2-xl,0.31153670630677255,0.1785669081976089,0.4093540432856694,0.0813332570500658
gpt2-xl,0.36111062928448767,0.26774948835372925,0.4289887547492981,0.047650918347550204
gpt2-xl,0.36216320594668516,0.24065732955932617,0.4454494449228388,0.06636555083826381
gpt2-xl,0.36520363840069975,0.25248812124203956,0.6214599835002443,0.10536976220667005
gpt2-xl,0.3227284564171503,0.23149633297302363,0.5175650098842407,0.08553295400021257
gpt2-xl,0.3429427372944144,0.24258114397525787,0.44918347743700404,0.0594803709489463
gpt2-xl,0.39911732591036997,0.3181831945071707,0.5004628598414156,0.05842214971243426
gpt2-xl,0.3775993286860607,0.3124258928045104,0.4952339231967926,0.05489188441798492
gpt2-xl,0.4184832801250099,0.3008486032485962,0.6006615995966446,0.09148140110362214
gpt2-xl,0.4512358935032264,0.3258343235155543,0.6445787164820017,0.08820747351669678
gpt2-xl,0.32902985626029674,0.21256929636001587,0.7147453044279014,0.14255206904215229
gpt2-xl,0.45594373643398284,0.29835227131843567,0.792630672454834,0.13624986970405675
gpt2-xl,0.35181388337200475,0.2790054976940155,0.47919017200528635,0.05646019077012085
gpt2-xl,0.3446533891241578,0.20642544588891032,0.5811327945510878,0.10169430309492984
gpt2-xl,0.32317643869612833,0.2555658512633042,0.3798900914257717,0.04380740888660956
gpt2-xl,0.3371404832456893,0.2612174437978949,0.39585716153042616,0.04508765987267309
gpt2-xl,0.29113270186930457,0.23171995689153968,0.3510166793455679,0.03987871550414092
gpt2-xl,0.32994092140039283,0.23251502320080897,0.47495885118719516,0.06443037113043597
gpt2-xl,0.3601138546487352,0.2765906751155853,0.5202987765909737,0.08267883653402439
gpt2-xl,0.3089295985115753,0.18259584217121227,0.4251289710325623,0.07208679491924046
